순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
97,003490,대한항공,"26,050","-800","-3.0","786,963","20,553,722,750","26,600","26,950","25,500","2,470,702,715,700","0.16","94,844,634",,,
98,001450,현대해상,"27,400","50","0.2","204,567","5,606,139,850","27,300","27,600","27,000","2,449,560,000,000","0.16","89,400,000",,,
99,086900,메디톡스,"416,600","-1,900","-0.4","17,698","7,375,781,900","420,000","420,000","415,000","2,422,566,494,000","0.15","5,815,090",,,
100,138930,BNK금융지주,"7,220","-90","-1.2","657,792","4,743,481,180","7,260","7,320","7,160","2,353,252,476,120","0.15","325,935,246",,,
101,007310,오뚜기,"649,000","-9,000","-1.4","2,596","1,686,063,000","655,000","658,000","645,000","2,339,798,813,000","0.15","3,605,237",,,
102,079440,오렌지라이프,"28,100","-250","-0.9","61,153","1,728,564,200","28,450","28,600","28,000","2,304,200,000,000","0.15","82,000,000",,,
103,047050,포스코인터내셔널,"18,350","-500","-2.6","191,586","3,527,797,900","18,800","18,850","18,200","2,263,933,984,150","0.14","123,375,149",,,
104,000060,메리츠화재,"19,450","-450","-2.3","181,598","3,529,654,350","20,100","20,100","19,250","2,211,076,000,000","0.14","113,680,000",,,
105,088350,한화생명,"2,510","-80","-3.1","2,274,649","5,759,310,460","2,585","2,610","2,505","2,180,010,300,000","0.14","868,530,000",,,
106,263750,펄어비스,"165,400","-6,200","-3.6","56,636","9,536,776,600","171,700","171,700","165,400","2,153,739,560,000","0.14","13,021,400",,,
107,017800,현대엘리베이,"77,900","-3,800","-4.6","338,635","26,831,589,700","80,700","81,400","77,900","2,118,828,118,600","0.13","27,199,334",,,
108,032500,케이엠더블유,"51,300","-2,100","-3.9","927,736","48,451,638,100","53,600","54,000","51,000","1,994,435,859,600","0.13","38,877,892",,,
109,138040,메리츠금융지주,"13,800","-50","-0.4","28,283","389,990,600","13,850","13,850","13,750","1,935,095,533,200","0.12","140,224,314",,,
110,036490,SK머티리얼즈,"182,900","1,900","1.0","209,279","38,835,006,700","188,900","193,000","181,100","1,929,169,391,700","0.12","10,547,673",,,
111,012510,더존비즈온,"63,800","-2,000","-3.0","93,472","6,013,867,200","66,000","66,800","63,700","1,893,118,260,000","0.12","29,672,700",,,
112,000150,두산,"103,000","0","0.0","150,706","15,565,570,500","102,500","106,500","100,500","1,878,524,506,000","0.12","18,238,102",,,
113,010060,OCI,"76,700","-3,600","-4.5","333,352","25,371,536,100","79,600","80,300","73,600","1,829,246,755,700","0.12","23,849,371",,,
114,005385,현대차우,"74,600","-1,400","-1.8","24,375","1,818,341,900","75,900","76,600","73,600","1,817,008,701,000","0.12","24,356,685",,,
115,069620,대웅제약,"155,000","-5,000","-3.1","30,121","4,665,540,000","160,000","160,500","150,500","1,795,919,125,000","0.11","11,586,575",,,
116,026960,동서,"17,600","-550","-3.0","73,752","1,304,153,350","18,000","18,200","17,450","1,754,720,000,000","0.11","99,700,000",,,
117,069960,현대백화점,"74,800","-1,000","-1.3","61,049","4,578,709,400","75,600","76,200","74,200","1,750,502,586,800","0.11","23,402,441",,,
118,000880,한화,"23,300","-650","-2.7","263,883","6,166,689,500","23,800","23,900","23,150","1,746,538,525,500","0.11","74,958,735",,,
119,253450,스튜디오드래곤,"61,500","-2,200","-3.4","88,500","5,527,281,100","63,000","64,300","61,500","1,725,166,635,000","0.11","28,051,490",,,
120,010620,현대미포조선,"42,600","1,100","2.6","280,610","11,823,811,200","41,300","43,300","40,850","1,701,535,547,400","0.11","39,942,149",,,
121,020150,일진머티리얼즈,"36,650","-1,300","-3.4","294,328","10,910,933,200","38,000","38,150","36,550","1,689,962,102,750","0.11","46,110,835",,,
122,047040,대우건설,"4,040","-100","-2.4","1,591,938","6,430,775,780","4,140","4,160","4,005","1,679,115,457,520","0.11","415,622,638",,,
123,004800,효성,"79,300","-400","-0.5","36,956","2,921,632,700","79,700","80,400","78,300","1,670,932,282,500","0.11","21,071,025",,,
124,012450,한화에어로스페이스,"31,950","-750","-2.3","126,056","4,032,976,200","33,200","33,200","31,600","1,647,342,000,000","0.10","51,560,000",,,
125,145020,휴젤,"376,800","14,900","4.1","14,419","5,295,683,500","362,200","376,800","357,100","1,642,171,644,000","0.10","4,358,205",,,
126,294870,HDC현대산업개발,"36,800","200","0.6","201,382","7,426,730,950","36,950","37,300","36,200","1,616,926,496,000","0.10","43,938,220",,,
127,051905,LG생활건강우,"768,000","2,000","0.3","935","717,599,000","767,000","771,000","760,000","1,612,567,296,000","0.10","2,099,697",,,
128,039490,키움증권,"72,900","-2,500","-3.3","77,460","5,673,484,900","74,700","75,300","72,800","1,611,071,046,000","0.10","22,099,740",,,
129,204320,만도,"33,400","-1,550","-4.4","939,836","31,770,928,700","34,400","34,600","33,000","1,568,367,808,000","0.10","46,957,120",,,
130,180640,한진칼,"26,200","-1,450","-5.2","1,023,924","27,247,906,850","27,600","27,850","25,900","1,550,265,999,600","0.10","59,170,458",,,
131,011790,SKC,"41,300","-350","-0.8","200,265","8,311,198,950","41,400","42,100","40,650","1,550,177,121,500","0.10","37,534,555",,,
132,000080,하이트진로,"21,850","450","2.1","648,802","14,171,779,400","21,500","22,100","21,500","1,532,419,400,350","0.10","70,133,611",,,
133,111770,영원무역,"33,850","-650","-1.9","62,396","2,123,543,150","34,050","34,700","33,750","1,499,943,191,800","0.10","44,311,468",,,
134,000240,한국테크놀로지그룹,"15,650","-200","-1.3","27,921","439,005,150","15,800","15,950","15,550","1,455,765,707,450","0.09","93,020,173",,,
135,003240,태광산업,"1,289,000","16,000","1.3","581","734,936,000","1,287,000","1,289,000","1,244,000","1,435,172,600,000","0.09","1,113,400",,,
136,004370,농심,"233,500","-4,000","-1.7","6,299","1,483,436,500","237,500","239,000","233,000","1,420,296,907,000","0.09","6,082,642",,,
137,006260,LS,"43,900","-1,500","-3.3","115,875","5,111,365,800","45,050","45,250","43,650","1,413,580,000,000","0.09","32,200,000",,,
