종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
078150,HB테크놀러지,"2,705","80","3.05","2,705","2,700","1,118,244","3,005,376,390","2,600","2,780","2,560","500",원(KRW),"78,990,426","213,669,102,330",
012630,HDC,"12,750","50","0.39","12,750","12,700","180,121","2,290,049,650","12,600","12,900","12,500","5,000",원(KRW),"59,741,721","761,706,942,750",
039570,HDC아이콘트롤스,"9,210","30","0.33","9,220","9,210","4,492","41,010,960","9,010","9,270","9,010","500",원(KRW),"16,460,000","151,596,600,000",
089470,HDC현대EP,"4,680","0","0.00","4,680","4,660","20,851","97,279,845","4,680","4,705","4,620","500",원(KRW),"31,900,000","149,292,000,000",
294870,HDC현대산업개발,"35,100","-300","0.85","35,150","35,100","241,910","8,759,030,650","34,750","37,600","34,750","5,000",원(KRW),"43,938,220","1,542,231,522,000",
036640,HRS,"2,050","20","0.99","2,055","2,050","41,962","86,284,260","2,030","2,070","2,030","500",원(KRW),"16,354,800","33,527,340,000",
082740,HSD엔진,"3,000","20","0.67","3,000","2,980","65,495","195,075,095","2,935","3,095","2,935","1,000",원(KRW),"32,947,142","98,841,426,000",
299170,IBKS제10호스팩,"2,200","-40","1.79","2,230","2,200","7,025","15,502,250","2,240","2,250","2,190","100",원(KRW),"4,330,000","9,526,000,000",
254120,IBKS제5호스팩,"2,795","75","2.76","2,795","2,790","321,932","917,722,425","2,665","2,925","2,665","100",원(KRW),"4,500,000","12,577,500,000",
264850,IBKS제6호스팩,"2,430","0","0.00","0","0","0","0","0","0","0","100",원(KRW),"4,315,000","10,485,450,000",
276920,IBKS제7호스팩,"2,250","50","2.27","2,250","2,180","53","116,190","2,315","2,315","2,175","100",원(KRW),"3,650,000","8,212,500,000",
297570,IBKS제9호스팩,"3,210","-230","6.69","3,210","3,205","199,445","641,959,620","3,310","3,330","3,115","100",원(KRW),"2,760,000","8,859,600,000",
003560,IHQ,"1,780","30","1.71","1,785","1,780","526,072","923,748,750","1,735","1,780","1,710","500",원(KRW),"146,235,748","260,299,631,440",
095340,ISC,"8,280","100","1.22","8,280","8,260","39,998","326,151,320","8,110","8,290","7,950","500",원(KRW),"14,142,508","117,099,966,240",
099520,ITX엠투엠,"1,370","-20","1.44","1,370","1,355","52,513","71,210,345","1,390","1,390","1,340","500",원(KRW),"16,466,131","22,558,599,470",
175330,JB금융지주,"5,490","-10","0.18","5,500","5,490","128,070","703,547,400","5,510","5,520","5,470","5,000",원(KRW),"196,982,894","1,081,436,088,060",
950170,JTC,"6,700","300","4.69","6,700","6,650","115,917","758,413,430","6,470","6,740","6,320","0",일본엔(JPY),"35,005,517","234,536,963,900",
234080,JW생명과학,"21,350","50","0.23","21,350","21,300","16,116","344,532,650","21,150","21,650","21,150","2,500",원(KRW),"15,834,554","338,067,727,900",
067290,JW신약,"4,035","40","1.00","4,040","4,035","118,187","473,918,215","3,955","4,070","3,940","500",원(KRW),"41,667,166","168,127,014,810",
001060,JW중외제약,"24,950","0","0.00","24,950","24,900","34,249","847,464,000","24,750","25,150","24,250","2,500",원(KRW),"20,318,022","506,934,648,900",
001067,JW중외제약2우B,"37,400","1,450","4.03","37,000","36,550","671","24,755,900","35,900","38,900","35,900","2,500",원(KRW),"87,790","3,283,346,000",
001065,JW중외제약우,"24,650","150","0.61","24,850","24,450","807","19,667,500","24,000","24,900","24,000","2,500",원(KRW),"167,375","4,125,793,750",
096760,JW홀딩스,"5,080","0","0.00","5,080","5,070","113,466","573,580,415","5,090","5,130","4,990","500",원(KRW),"64,520,904","327,766,192,320",
035900,JYP Ent.,"18,700","100","0.54","18,750","18,700","257,261","4,807,271,050","18,550","19,050","18,400","500",원(KRW),"35,494,992","663,756,350,400",
024840,KBI메탈,"1,480","20","1.37","1,480","1,475","112,406","162,887,835","1,440","1,485","1,420","500",원(KRW),"32,950,848","48,767,255,040",
